Work,Work_Type,WorkComponent,ComponentType,SourceModality,hasPhysicalOrTextualValue,hasPitch,EvokedValue,TargetModality,CorrespondenceType,SynestheticTheory,BibliographicSource
Opera_Prometheus_PoemOfFire,MusicalWork,Comp_Skrjabin_C,MusicalNote,AuditoryModality,C Major Tonality,,Red_Color,VisualModality,PerceptualCorrespondence,Skrjabin_Theory,A. Scriabin: Prometheus Score (1910) 
Opera_Prometheus_PoemOfFire,MusicalWork,Comp_Skrjabin_G,MusicalNote,AuditoryModality,G Major Tonality,,Orange_Color,VisualModality,PerceptualCorrespondence,Skrjabin_Theory,A. Scriabin: Prometheus Score (1910)
Opera_Prometheus_PoemOfFire,MusicalWork,Comp_Skrjabin_D,MusicalNote,AuditoryModality,D Major Tonality,,BrightYellow_Color,VisualModality,PerceptualCorrespondence,Skrjabin_Theory,A. Scriabin: Prometheus Score (1910)
Opera_Prometheus_PoemOfFire,MusicalWork,Comp_Skrjabin_A,MusicalNote,AuditoryModality,A Major Tonality,,Green_Color,VisualModality,PerceptualCorrespondence,Skrjabin_Theory,A. Scriabin: Prometheus Score (1910)
Opera_Prometheus_PoemOfFire,MusicalWork,Comp_Skrjabin_E,MusicalNote,AuditoryModality,E Major Tonality,,LightBlue_Color,VisualModality,PerceptualCorrespondence,Skrjabin_Theory,A. Scriabin: Prometheus Score (1910)
Opera_Prometheus_PoemOfFire,MusicalWork,Comp_Skrjabin_F_Sharp,MusicalNote,AuditoryModality,F# Major Tonality,,Blue_Color,VisualModality,PerceptualCorrespondence,Skrjabin_Theory,A. Scriabin: Prometheus Score (1910)
Painting_Yellow_Red_Blue,VisualArtsWork,Comp_Kandinsky_Light_Blue,Color,VisualModality,Light Blue Element,,Flute_Sound,AuditoryModality,PerceptualCorrespondence,Kandinsky_Theory,W. Kandinsky: Concerning the Spiritual in Art (1911)
Painting_Yellow_Red_Blue,VisualArtsWork,Comp_Kandinsky_Yellow,Color,VisualModality,Yellow Element,,Trumpet_Sound,AuditoryModality,PerceptualCorrespondence,Kandinsky_Theory,W. Kandinsky: Concerning the Spiritual in Art (1911)
Painting_Yellow_Red_Blue,VisualArtsWork,Comp_Kandinsky_Red,Color,VisualModality,Red Element,,Tuba_Sound,AuditoryModality,PerceptualCorrespondence,Kandinsky_Theory,W. Kandinsky: Concerning the Spiritual in Art (1911)
Painting_Yellow_Red_Blue,VisualArtsWork,Comp_Kandinsky_Green,Color,VisualModality,Green Element,,Violin_Sound,AuditoryModality,PerceptualCorrespondence,Kandinsky_Theory,W. Kandinsky: Concerning the Spiritual in Art (1911)
Painting_Yellow_Red_Blue,VisualArtsWork,Comp_Kandinsky_Orange,Color,VisualModality,Orange Element,,ChurchBell_Sound,AuditoryModality,PerceptualCorrespondence,Kandinsky_Theory,W. Kandinsky: Concerning the Spiritual in Art (1911)
Painting_Yellow_Red_Blue,VisualArtsWork,Comp_Kandinsky_Violet,Color,VisualModality,Violet Element,,EnglishHorn_Sound,AuditoryModality,PerceptualCorrespondence,Kandinsky_Theory,W. Kandinsky: Concerning the Spiritual in Art (1911)
Painting_Yellow_Red_Blue,VisualArtsWork,Comp_Kandinsky_Blue,Color,VisualModality,Blue Element,,Cello_Sound,AuditoryModality,PerceptualCorrespondence,Kandinsky_Theory,W. Kandinsky: Concerning the Spiritual in Art (1911)
Poem_Voyelles,LiteraryWork,Comp_Rimbaud_A,Grapheme,AuditoryModality,Letter A,,Black_Color,VisualModality,AffectiveCorrespondence,Rimbaud_Poetics,A. Rimbaud: Voyelles Sonnet (1871)
Poem_Voyelles,LiteraryWork,Comp_Rimbaud_E,Grapheme,AuditoryModality,Letter E,,White_Color,VisualModality,AffectiveCorrespondence,Rimbaud_Poetics,A. Rimbaud: Voyelles Sonnet (1871)
Poem_Voyelles,LiteraryWork,Comp_Rimbaud_I,Grapheme,AuditoryModality,Letter I,,Red_Color,VisualModality,AffectiveCorrespondence,Rimbaud_Poetics,A. Rimbaud: Voyelles Sonnet (1871)
Poem_Voyelles,LiteraryWork,Comp_Rimbaud_U,Grapheme,AuditoryModality,Letter U,,Green_Color,VisualModality,AffectiveCorrespondence,Rimbaud_Poetics,A. Rimbaud: Voyelles Sonnet (1871)
Poem_Voyelles,LiteraryWork,Comp_Rimbaud_O,Grapheme,AuditoryModality,Letter O,,Blue_Color,VisualModality,AffectiveCorrespondence,Rimbaud_Poetics,A. Rimbaud: Voyelles Sonnet (1871)
Poem_Correspondances,LiteraryWork,Comp_Baudelaire_Perfumes,PoeticVerse,OlfactoryModality,Perfumes fresh as childrens flesh,,FreshFlesh_Sensation, TactileModality,AffectiveCorrespondence,Baudelaire_Poetics,C. Baudelaire: Correspondances (1857)
Poem_X_August,LiteraryWork,Comp_Pascoli_OpenEyes,PoeticVerse,VisualModality,A scream stayed in the open eyes,,A_Scream,AuditoryModality,AffectiveCorrespondence,Pascoli_Poetics,G. Pascoli: Il fanciullino Essay (1897)
Poem_La_mia_sera,LiteraryWork,Comp_Pascoli_Voices,PoeticVerse,AuditoryModality, The voices of blue darkness,,Blue_Color,VisualModality,AffectiveCorrespondence,Pascoli_Poetics,G. Pascoli: Il fanciullino Essay (1897)
Poem_They_have_a_little_Odor, LiteraryWork, Comp_Dickinson_Odor, PoeticVerse, OlfactoryModality, They have a little Odor,,A_Melody,AuditoryModality,AffectiveCorrespondence,Dickinson_Poetics, 
Poem_The_sensitive_plant, LiteraryWork,Comp_Shelley_Hyacinth,PoeticVerse,VisualModality, And the hyacinth...Which flung...a sweet peal anew /Of music so delicate...,,Music,AuditoryModality,AffectiveCorrespondence,Shelley_Poetics,
Newton_Spectrum_Scale,ScientificWork,Comp_Newton_NoteD,MusicalNote,AuditoryModality,Note D,,Red_Color,VisualModality,PhysicalCorrespondence,Newton_Physical_Theory,I. Newton: Opticks (1704)
Newton_Spectrum_Scale,ScientificWork,Comp_Newton_NoteE,MusicalNote,AuditoryModality,Note E,,Orange_Color,VisualModality,PhysicalCorrespondence,Newton_Physical_Theory,I. Newton: Opticks (1704)
Newton_Spectrum_Scale,ScientificWork,Comp_Newton_NoteF,MusicalNote,AuditoryModality,Note F,,Yellow_Color,VisualModality,PhysicalCorrespondence,Newton_Physical_Theory,I. Newton: Opticks (1704)
Newton_Spectrum_Scale,ScientificWork,Comp_Newton_NoteG,MusicalNote,AuditoryModality,Note G,,Green_Color,VisualModality,PhysicalCorrespondence,Newton_Physical_Theory,I. Newton: Opticks (1704)
Newton_Spectrum_Scale,ScientificWork,Comp_Newton_NoteA,MusicalNote,AuditoryModality,Note A,,Blue_Color,VisualModality,PhysicalCorrespondence,Newton_Physical_Theory,I. Newton: Opticks (1704)
Newton_Spectrum_Scale,ScientificWork,Comp_Newton_NoteB,MusicalNote,AuditoryModality,Note B,,Indigo_Color,VisualModality,PhysicalCorrespondence,Newton_Physical_Theory,I. Newton: Opticks (1704)
Newton_Spectrum_Scale,ScientificWork,Comp_Newton_NoteC_High,MusicalNote,AuditoryModality,Note C,,Violet_Color,VisualModality,PhysicalCorrespondence,Newton_Physical_Theory,I. Newton: Opticks (1704)
Field_Chromatics_Scale,ScientificWork,Comp_Field_NoteC,MusicalNote,AuditoryModality,Note C,,Blue_Color,VisualModality,PerceptualCorrespondence,Field_Chromatics_Theory,G. Field: Chromatography (1835)
Field_Chromatics_Scale,ScientificWork,Comp_Field_NoteD,MusicalNote,AuditoryModality,Note D,,Purple_Color,VisualModality,PerceptualCorrespondence,Field_Chromatics_Theory,G. Field: Chromatography (1835)
Field_Chromatics_Scale,ScientificWork,Comp_Field_NoteE,MusicalNote,AuditoryModality,Note E,,Red_Color,VisualModality,PerceptualCorrespondence,Field_Chromatics_Theory,G. Field: Chromatography (1835)
Field_Chromatics_Scale,ScientificWork,Comp_Field_NoteF,MusicalNote,AuditoryModality,Note F,,Orange_Color,VisualModality,PerceptualCorrespondence,Field_Chromatics_Theory,G. Field: Chromatography (1835)
Field_Chromatics_Scale,ScientificWork,Comp_Field_NoteG,MusicalNote,AuditoryModality,Note G,,Yellow_Color,VisualModality,PerceptualCorrespondence,Field_Chromatics_Theory,G. Field: Chromatography (1835)
Field_Chromatics_Scale,ScientificWork,Comp_Field_NoteA,MusicalNote,AuditoryModality,Note A,,YellowGreen_Color,VisualModality,PerceptualCorrespondence,Field_Chromatics_Theory,G. Field: Chromatography (1835)
